"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","0.5","fc.L_rm.0.5",0.78970102739726,0.831,0.0225842923399755,0.0117653152033949,0.788055833333333,0.0238216284852488,0.6984,0.124329490557238,0.101428571428571,0.0713067744653766,0.00666666666666667,0.0210818510677892,3917.06062940347,474.078881362299,1.13518338140285e-103,5
"2","Q","0.5","fc.Q_rm.0.5",0.785659931506849,0.911,0.0196710773685602,0.0109687823569476,0.78434930952381,0.0211844100569011,0.7648,0.0678622788365443,0.101904761904762,0.0710643270139674,0.00666666666666667,0.0210818510677892,3918.31352072187,475.331772680694,6.06742101730609e-104,5
"3","H","0.5","fc.H_rm.0.5",0.952345205479452,0.932,0.0242469032583193,0.0116257043184404,0.942909738095238,0.0238512498658221,0.7024,0.182800559201673,0.115238095238095,0.0770062151261339,0.00666666666666667,0.0210818510677892,3740.43235693279,297.450608891618,2.56689477332592e-65,82
"4","P","0.5","fc.P_rm.0.5",0.873409246575342,0.951,0.0257420138214203,0.0217933262481649,0.872193833333333,0.0315730454150479,0.8129,0.0885079406356037,0.101428571428571,0.0640078258001975,0.00666666666666667,0.0210818510677892,3719.1251144764,276.143366435227,1.08696854708092e-60,8
"5","LQ","0.5","fc.LQ_rm.0.5",0.928313356164384,0.928,0.0251779682016457,0.0176261374351818,0.927504928571429,0.0289225942861719,0.8762,0.0562885423509972,0.108095238095238,0.0774710505184378,0.00666666666666667,0.0210818510677892,3467.58651216162,24.6047641204495,4.54078002015627e-06,10
"6","LP","0.5","fc.LP_rm.0.5",0.886959246575342,0.986,0.0251791664601302,0.0191815409702269,0.883453214285714,0.0295545065669919,0.8377,0.0958181727138554,0.0947619047619048,0.0555079160822618,0.00666666666666667,0.0210818510677892,3686.72440619029,243.742658149116,1.18016134748812e-53,15
"7","QH","0.5","fc.QH_rm.0.5",0.952345205479452,0.932,0.0243048334820396,0.0116044435724598,0.942897928571429,0.0238749797787612,0.7107,0.183604677984461,0.114761904761905,0.0825839319729075,0.00666666666666667,0.0210818510677892,3740.43235693279,297.450608891618,2.56689477332592e-65,82
"8","QP","0.5","fc.QP_rm.0.5",0.916183904109589,0.942,0.0233425660668848,0.0143632083368504,0.912545833333333,0.0253492032603913,0.8479,0.0595248780856468,0.115714285714286,0.0624941418267394,0.00666666666666667,0.0210818510677892,3574.15547980945,131.173731768276,3.28075022328269e-29,12
"9","HP","0.5","fc.HP_rm.0.5",0.953270205479452,0.97,0.0239525895624732,0.0120559412901251,0.944247452380952,0.0240697761379586,0.7218,0.150810256061494,0.122380952380952,0.0829370775403847,0.00666666666666667,0.0210818510677892,3573.30241709868,130.320669057507,5.02589465169973e-29,63
"10","LQH","0.5","fc.LQH_rm.0.5",0.952281164383562,0.937,0.024312297949506,0.0115970505487339,0.942895023809524,0.0238857001559122,0.7126,0.187229627285142,0.121904761904762,0.0815014062081617,0.00666666666666667,0.0210818510677892,3798.44981565697,355.468067615795,6.47257328955259e-78,87
"11","LQP","0.5","fc.LQP_rm.0.5",0.934728424657534,0.981,0.0202150134000859,0.0161535771043353,0.931476357142857,0.0244909832349415,0.8682,0.0563161709556954,0.114761904761905,0.0891845988283761,0.00666666666666667,0.0210818510677892,3479.55146660093,36.5697185597555,1.14544335794472e-08,16
"12","LQHP","0.5","fc.LQHP_rm.0.5",0.953577739726027,0.965,0.023734046041109,0.0121154113223995,0.944278285714286,0.0237802007670995,0.7291,0.155509520966117,0.129047619047619,0.0865174015500642,0.00666666666666667,0.0210818510677892,3643.81799521433,200.836247173158,2.4487821401667e-44,73
"13","LQHPT","0.5","fc.LQHPT_rm.0.5",0.968930479452055,0.921,0.0302807704553716,0.0232915786034813,0.942905357142857,0.0257236192215638,0.7344,0.105433707450069,0.176666666666667,0.105611036857291,0.02,0.0322030594359765,3671.30888062011,228.327132578942,2.62651709589831e-50,86
"14","L","1","fc.L_rm.1",0.790532534246575,0.833,0.0222904917633257,0.0120157248070735,0.788884976190476,0.0236995296817453,0.6972,0.116671238005679,0.101428571428571,0.0713067744653766,0.00666666666666667,0.0210818510677892,3917.20139302491,474.219644983741,1.05803392345535e-103,5
"15","Q","1","fc.Q_rm.1",0.785746917808219,0.899,0.0196803423300618,0.0109782669121367,0.784494261904762,0.0212202611904117,0.7608,0.0757302229408224,0.101904761904762,0.0710643270139674,0.00666666666666667,0.0210818510677892,3918.51799689494,475.536248853773,5.47775614577558e-104,5
"16","H","1","fc.H_rm.1",0.945258219178082,0.971,0.0234781833382902,0.0147021157272328,0.938508642857143,0.02556182568502,0.6509,0.201834613263214,0.108095238095238,0.0774710505184378,0.00666666666666667,0.0210818510677892,3543.43732007961,100.455572038441,1.53580755446106e-22,52
"17","P","1","fc.P_rm.1",0.870510616438356,0.963,0.0247939185502792,0.0229349941269033,0.869451214285714,0.0315451159766608,0.8382,0.0882078353788496,0.101428571428571,0.0640078258001975,0.00666666666666667,0.0210818510677892,3726.28936078933,283.307612748159,3.02357438198722e-62,7
